symbol,trend_enter,chop_enter,high_vol_threshold,min_regime_duration,ema_slope_lookback,ema_cross_lookback,trades_total,trades_allowed,trades_filtered_pct,win_rate,expectancy_R,profit_factor,max_dd_pct,vs_baseline_expectancy,vs_baseline_dd,sharpe_ratio,tp_filtered,sl_filtered,filter_precision,baseline_expectancy,baseline_dd,elapsed_s
EURUSD,0.5,0.5,70.0,8,20,50,686,327,52.3,0.1758,-0.2967,0.614,5.67,-0.5087,-11.33,-0.19378212247008494,38,113,0.7483,0.212,17.0,0.24
EURUSD,0.5,0.5,80.0,8,20,50,686,269,60.8,0.2083,-0.1667,1.051,2.29,-0.3787,-14.71,-0.10188285900515516,38,115,0.7516,0.212,17.0,0.24
EURUSD,0.5,0.6,70.0,8,20,50,686,374,45.5,0.217,-0.1321,0.827,3.99,-0.3441,-13.01,-0.07972725232215994,32,90,0.7377,0.212,17.0,0.24
EURUSD,0.5,0.6,80.0,8,20,50,686,408,40.5,0.2424,-0.0303,0.957,4.33,-0.2423,-12.67,-0.017588161767036217,34,96,0.7385,0.212,17.0,0.25
EURUSD,0.5,0.7,70.0,8,20,50,686,467,31.9,0.2222,-0.1111,1.01,5.26,-0.3231,-11.74,-0.06656738639316502,24,68,0.7391,0.212,17.0,0.27
EURUSD,0.5,0.7,80.0,8,20,50,686,415,39.5,0.2609,0.0435,0.907,5.67,-0.1685,-11.33,0.02464582885186449,29,84,0.7434,0.212,17.0,0.25
EURUSD,0.6,0.5,70.0,8,20,50,686,321,53.2,0.1705,-0.3182,0.563,6.36,-0.5302,-10.64,-0.21033389810585332,38,112,0.7467,0.212,17.0,0.24
EURUSD,0.6,0.5,80.0,8,20,50,686,253,63.1,0.2174,-0.1304,1.069,2.14,-0.3424,-14.86,-0.07848197429891192,38,116,0.7532,0.212,17.0,0.25
EURUSD,0.6,0.6,70.0,8,20,50,686,358,47.8,0.2115,-0.1538,0.804,4.26,-0.3658,-12.74,-0.09372245743577934,32,95,0.748,0.212,17.0,0.25
EURUSD,0.6,0.6,80.0,8,20,50,686,338,50.7,0.2551,0.0204,1.003,4.46,-0.1916,-12.54,0.01164424673253404,34,103,0.7518,0.212,17.0,0.25
EURUSD,0.6,0.7,70.0,8,20,50,686,433,36.9,0.2439,-0.0244,1.281,2.96,-0.2364,-14.04,-0.014141208361780393,28,79,0.7383,0.212,17.0,0.23
EURUSD,0.6,0.7,80.0,8,20,50,686,336,51.0,0.3143,0.2571,1.328,3.81,0.0451,-13.19,0.1378169310843428,32,98,0.7538,0.212,17.0,0.23
EURUSD,0.7,0.5,70.0,8,20,50,686,310,54.8,0.1724,-0.3103,0.568,6.24,-0.5223,-10.76,-0.20421211082327254,38,113,0.7483,0.212,17.0,0.24
EURUSD,0.7,0.5,80.0,8,20,50,686,246,64.1,0.2206,-0.1176,1.083,2.14,-0.3296,-14.86,-0.07040919456992246,38,117,0.7548,0.212,17.0,0.23
EURUSD,0.7,0.6,70.0,8,20,50,686,341,50.3,0.2316,-0.0737,0.912,3.52,-0.2857,-13.48,-0.043437758092227954,32,96,0.75,0.212,17.0,0.23
EURUSD,0.7,0.6,80.0,8,20,50,686,321,53.2,0.2625,0.05,1.13,4.39,-0.162,-12.61,0.02823143143275832,35,106,0.7518,0.212,17.0,0.24
EURUSD,0.7,0.7,70.0,8,20,50,686,413,39.8,0.25,0.0,1.082,3.4,-0.212,-13.6,0.0,30,84,0.7368,0.212,17.0,0.25
EURUSD,0.7,0.7,80.0,8,20,50,686,366,46.6,0.2718,0.0874,1.291,3.84,-0.1246,-13.16,0.048860099187876184,32,103,0.763,0.212,17.0,0.25
