symbol,trend_enter,chop_enter,high_vol_threshold,min_regime_duration,ema_slope_lookback,ema_cross_lookback,trades_total,trades_allowed,trades_filtered_pct,win_rate,expectancy_R,profit_factor,max_dd_pct,vs_baseline_expectancy,vs_baseline_dd,sharpe_ratio,tp_filtered,sl_filtered,filter_precision,baseline_expectancy,baseline_dd,elapsed_s,period
EURUSD,0.5,0.5,70.0,8,20,50,686,327,52.3,0.1758,-0.2967,0.614,5.67,-0.5087,-11.33,-0.1937821224700849,38,113,0.7483,0.212,17.0,0.24,2023-2024
EURUSD,0.5,0.5,80.0,8,20,50,686,269,60.8,0.2083,-0.1667,1.051,2.29,-0.3787,-14.71,-0.1018828590051551,38,115,0.7516,0.212,17.0,0.24,2023-2024
EURUSD,0.5,0.6,70.0,8,20,50,686,374,45.5,0.217,-0.1321,0.827,3.99,-0.3441,-13.01,-0.0797272523221599,32,90,0.7377,0.212,17.0,0.24,2023-2024
EURUSD,0.5,0.6,80.0,8,20,50,686,408,40.5,0.2424,-0.0303,0.957,4.33,-0.2423,-12.67,-0.0175881617670362,34,96,0.7385,0.212,17.0,0.25,2023-2024
EURUSD,0.5,0.7,70.0,8,20,50,686,467,31.9,0.2222,-0.1111,1.01,5.26,-0.3231,-11.74,-0.066567386393165,24,68,0.7391,0.212,17.0,0.27,2023-2024
EURUSD,0.5,0.7,80.0,8,20,50,686,415,39.5,0.2609,0.0435,0.907,5.67,-0.1685,-11.33,0.0246458288518644,29,84,0.7434,0.212,17.0,0.25,2023-2024
EURUSD,0.6,0.5,70.0,8,20,50,686,321,53.2,0.1705,-0.3182,0.563,6.36,-0.5302,-10.64,-0.2103338981058533,38,112,0.7467,0.212,17.0,0.24,2023-2024
EURUSD,0.6,0.5,80.0,8,20,50,686,253,63.1,0.2174,-0.1304,1.069,2.14,-0.3424,-14.86,-0.0784819742989119,38,116,0.7532,0.212,17.0,0.25,2023-2024
EURUSD,0.6,0.6,70.0,8,20,50,686,358,47.8,0.2115,-0.1538,0.804,4.26,-0.3658,-12.74,-0.0937224574357793,32,95,0.748,0.212,17.0,0.25,2023-2024
EURUSD,0.6,0.6,80.0,8,20,50,686,338,50.7,0.2551,0.0204,1.003,4.46,-0.1916,-12.54,0.011644246732534,34,103,0.7518,0.212,17.0,0.25,2023-2024
EURUSD,0.6,0.7,70.0,8,20,50,686,433,36.9,0.2439,-0.0244,1.281,2.96,-0.2364,-14.04,-0.0141412083617803,28,79,0.7383,0.212,17.0,0.23,2023-2024
EURUSD,0.6,0.7,80.0,8,20,50,686,336,51.0,0.3143,0.2571,1.328,3.81,0.0451,-13.19,0.1378169310843428,32,98,0.7538,0.212,17.0,0.23,2023-2024
EURUSD,0.7,0.5,70.0,8,20,50,686,310,54.8,0.1724,-0.3103,0.568,6.24,-0.5223,-10.76,-0.2042121108232725,38,113,0.7483,0.212,17.0,0.24,2023-2024
EURUSD,0.7,0.5,80.0,8,20,50,686,246,64.1,0.2206,-0.1176,1.083,2.14,-0.3296,-14.86,-0.0704091945699224,38,117,0.7548,0.212,17.0,0.23,2023-2024
EURUSD,0.7,0.6,70.0,8,20,50,686,341,50.3,0.2316,-0.0737,0.912,3.52,-0.2857,-13.48,-0.0434377580922279,32,96,0.75,0.212,17.0,0.23,2023-2024
EURUSD,0.7,0.6,80.0,8,20,50,686,321,53.2,0.2625,0.05,1.13,4.39,-0.162,-12.61,0.0282314314327583,35,106,0.7518,0.212,17.0,0.24,2023-2024
EURUSD,0.7,0.7,70.0,8,20,50,686,413,39.8,0.25,0.0,1.082,3.4,-0.212,-13.6,0.0,30,84,0.7368,0.212,17.0,0.25,2023-2024
EURUSD,0.7,0.7,80.0,8,20,50,686,366,46.6,0.2718,0.0874,1.291,3.84,-0.1246,-13.16,0.0488600991878761,32,103,0.763,0.212,17.0,0.25,2023-2024
EURUSD,0.5,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002468,12,25,0.6757,0.212,17.0,0.12,2025-OOS
EURUSD,0.5,0.5,80.0,8,20,50,200,87,56.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.12,2025-OOS
EURUSD,0.5,0.6,70.0,8,20,50,200,143,28.5,0.1556,-0.3778,0.981,4.34,-0.5898,-12.66,-0.2576725723724767,9,18,0.6667,0.212,17.0,0.13,2025-OOS
EURUSD,0.5,0.6,80.0,8,20,50,200,169,15.5,0.193,-0.2281,0.907,3.29,-0.4401,-13.71,-0.1432071455151354,9,16,0.64,0.212,17.0,0.14,2025-OOS
EURUSD,0.5,0.7,70.0,8,20,50,200,134,33.0,0.2941,0.1765,1.469,1.8,-0.0355,-15.2,0.095390066075469,5,12,0.7059,0.212,17.0,0.13,2025-OOS
EURUSD,0.5,0.7,80.0,8,20,50,200,146,27.0,0.234,-0.0638,1.171,2.85,-0.2758,-14.15,-0.0372858164496529,6,11,0.6471,0.212,17.0,0.13,2025-OOS
EURUSD,0.6,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002468,12,25,0.6757,0.212,17.0,0.12,2025-OOS
EURUSD,0.6,0.5,80.0,8,20,50,200,83,58.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.12,2025-OOS
EURUSD,0.6,0.6,70.0,8,20,50,200,124,38.0,0.1707,-0.3171,0.958,4.55,-0.5291,-12.45,-0.208081250783556,9,20,0.6897,0.212,17.0,0.13,2025-OOS
EURUSD,0.6,0.6,80.0,8,20,50,200,138,31.0,0.1739,-0.3043,0.818,3.88,-0.5163,-13.12,-0.1985448349552669,9,18,0.6667,0.212,17.0,0.13,2025-OOS
EURUSD,0.6,0.7,70.0,8,20,50,200,141,29.5,0.25,0.0,1.247,2.67,-0.212,-14.33,0.0,6,16,0.7273,0.212,17.0,0.14,2025-OOS
EURUSD,0.6,0.7,80.0,8,20,50,200,150,25.0,0.1915,-0.234,0.951,4.23,-0.446,-12.77,-0.1471125175527366,8,18,0.6923,0.212,17.0,0.13,2025-OOS
EURUSD,0.7,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002468,12,25,0.6757,0.212,17.0,0.13,2025-OOS
EURUSD,0.7,0.5,80.0,8,20,50,200,83,58.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.13,2025-OOS
EURUSD,0.7,0.6,70.0,8,20,50,200,102,49.0,0.1667,-0.3333,0.962,4.5,-0.5453,-12.5,-0.2204792759220492,10,24,0.7059,0.212,17.0,0.14,2025-OOS
EURUSD,0.7,0.6,80.0,8,20,50,200,119,40.5,0.1795,-0.2821,0.914,3.14,-0.4941,-13.86,-0.1813711386266842,9,21,0.7,0.212,17.0,0.15,2025-OOS
EURUSD,0.7,0.7,70.0,8,20,50,200,134,33.0,0.25,0.0,1.273,2.53,-0.212,-14.47,0.0,6,16,0.7273,0.212,17.0,0.12,2025-OOS
EURUSD,0.7,0.7,80.0,8,20,50,200,135,32.5,0.1905,-0.2381,0.977,4.02,-0.4501,-12.98,-0.1497693137426207,8,18,0.6923,0.212,17.0,0.13,2025-OOS
