symbol,trend_enter,chop_enter,high_vol_threshold,min_regime_duration,ema_slope_lookback,ema_cross_lookback,trades_total,trades_allowed,trades_filtered_pct,win_rate,expectancy_R,profit_factor,max_dd_pct,vs_baseline_expectancy,vs_baseline_dd,sharpe_ratio,tp_filtered,sl_filtered,filter_precision,baseline_expectancy,baseline_dd,elapsed_s
EURUSD,0.5,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002469,12,25,0.6757,0.212,17.0,0.12
EURUSD,0.5,0.5,80.0,8,20,50,200,87,56.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.12
EURUSD,0.5,0.6,70.0,8,20,50,200,143,28.5,0.1556,-0.3778,0.981,4.34,-0.5898,-12.66,-0.25767257237247676,9,18,0.6667,0.212,17.0,0.13
EURUSD,0.5,0.6,80.0,8,20,50,200,169,15.5,0.193,-0.2281,0.907,3.29,-0.4401,-13.71,-0.1432071455151354,9,16,0.64,0.212,17.0,0.14
EURUSD,0.5,0.7,70.0,8,20,50,200,134,33.0,0.2941,0.1765,1.469,1.8,-0.0355,-15.2,0.09539006607546906,5,12,0.7059,0.212,17.0,0.13
EURUSD,0.5,0.7,80.0,8,20,50,200,146,27.0,0.234,-0.0638,1.171,2.85,-0.2758,-14.15,-0.037285816449652995,6,11,0.6471,0.212,17.0,0.13
EURUSD,0.6,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002469,12,25,0.6757,0.212,17.0,0.12
EURUSD,0.6,0.5,80.0,8,20,50,200,83,58.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.12
EURUSD,0.6,0.6,70.0,8,20,50,200,124,38.0,0.1707,-0.3171,0.958,4.55,-0.5291,-12.45,-0.208081250783556,9,20,0.6897,0.212,17.0,0.13
EURUSD,0.6,0.6,80.0,8,20,50,200,138,31.0,0.1739,-0.3043,0.818,3.88,-0.5163,-13.12,-0.19854483495526695,9,18,0.6667,0.212,17.0,0.13
EURUSD,0.6,0.7,70.0,8,20,50,200,141,29.5,0.25,0.0,1.247,2.67,-0.212,-14.33,0.0,6,16,0.7273,0.212,17.0,0.14
EURUSD,0.6,0.7,80.0,8,20,50,200,150,25.0,0.1915,-0.234,0.951,4.23,-0.446,-12.77,-0.1471125175527366,8,18,0.6923,0.212,17.0,0.13
EURUSD,0.7,0.5,70.0,8,20,50,200,65,67.5,0.0455,-0.8182,0.47,5.23,-1.0302,-11.77,-0.9594032236002469,12,25,0.6757,0.212,17.0,0.13
EURUSD,0.7,0.5,80.0,8,20,50,200,83,58.5,0.1304,-0.4783,0.695,4.11,-0.6903,-12.89,-0.3472198067548834,12,27,0.6923,0.212,17.0,0.13
EURUSD,0.7,0.6,70.0,8,20,50,200,102,49.0,0.1667,-0.3333,0.962,4.5,-0.5453,-12.5,-0.2204792759220492,10,24,0.7059,0.212,17.0,0.14
EURUSD,0.7,0.6,80.0,8,20,50,200,119,40.5,0.1795,-0.2821,0.914,3.14,-0.4941,-13.86,-0.18137113862668428,9,21,0.7,0.212,17.0,0.15
EURUSD,0.7,0.7,70.0,8,20,50,200,134,33.0,0.25,0.0,1.273,2.53,-0.212,-14.47,0.0,6,16,0.7273,0.212,17.0,0.12
EURUSD,0.7,0.7,80.0,8,20,50,200,135,32.5,0.1905,-0.2381,0.977,4.02,-0.4501,-12.98,-0.14976931374262076,8,18,0.6923,0.212,17.0,0.13
