entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2024-01-09T18:00:00+00:00,2024-01-18T20:00:00+00:00,LONG,16650.275999999998,16990.470714285708,34019471.42857098,TP,170.0973571428549,340.1947142857098,16480.178642857143,16990.470714285708,2.0,False,,,2024-01-09T18:00:00+00:00,2024-01-18T20:00:00+00:00,16648.179,16717.629,16956.098,16997.176,True,True,none
2024-01-19T14:00:00+00:00,2024-01-19T17:00:00+00:00,LONG,17059.096942857144,17167.179685714287,10808274.285714287,TP,54.04137142857144,108.08274285714288,17005.055571428573,17167.179685714287,2.0,False,,,2024-01-19T14:00:00+00:00,2024-01-19T17:00:00+00:00,17040.775,17100.119,17109.62,17196.897,True,True,none
2024-01-22T16:00:00+00:00,2024-01-24T03:00:00+00:00,SHORT,17376.9434,17472.450142857142,-9550674.285714194,SL,95.50674285714194,-95.50674285714194,17472.450142857142,17185.929914285716,-1.0,False,,,2024-01-22T16:00:00+00:00,2024-01-24T03:00:00+00:00,17309.887,17382.899,17461.342,17474.098,True,True,none
2024-01-29T18:00:00+00:00,2024-01-30T23:00:00+00:00,LONG,17487.40755714286,17354.019,-13338855.714285819,SL,94.31891428571544,-133.3885571428582,17393.088642857143,17676.04538571429,-1.4142291411327224,False,,,2024-01-29T18:00:00+00:00,2024-01-30T23:00:00+00:00,17468.643,17493.919,17302.387,17354.019,True,True,none
2024-01-31T16:00:00+00:00,2024-01-31T19:00:00+00:00,SHORT,17212.537592857145,17367.9585,-15542090.714285586,SL,155.42090714285587,-155.42090714285587,17367.9585,16901.695778571433,-1.0,False,,,2024-01-31T16:00:00+00:00,2024-01-31T19:00:00+00:00,17198.119,17247.789,17209.289,17382.254,True,True,none
2024-01-31T21:00:00+00:00,2024-02-01T21:00:00+00:00,SHORT,17160.048685714286,17416.924464285716,-25687577.85714297,SL,256.8757785714297,-256.8757785714297,17416.924464285716,16646.297128571427,-1.0,False,,,2024-01-31T21:00:00+00:00,2024-02-01T21:00:00+00:00,17118.686,17167.419,17321.298,17458.753,True,True,none
2024-02-05T16:00:00+00:00,2024-02-06T07:00:00+00:00,SHORT,17572.882985714285,17669.6165,-9673351.42857155,SL,96.7335142857155,-96.7335142857155,17669.6165,17379.415957142854,-1.0,False,,,2024-02-05T16:00:00+00:00,2024-02-06T07:00:00+00:00,17495.309,17573.597,17646.232,17680.109,True,True,none
2024-02-08T16:00:00+00:00,2024-02-09T18:00:00+00:00,LONG,17784.469549999998,17961.954792857137,17748524.285713937,TP,88.74262142856969,177.48524285713938,17695.72692857143,17961.954792857137,2.0,False,,,2024-02-08T16:00:00+00:00,2024-02-09T18:00:00+00:00,17779.319,17814.399,17940.719,17964.899,True,True,none
2024-02-12T18:00:00+00:00,2024-02-12T19:00:00+00:00,LONG,17983.533150000003,17909.298535714286,-7423461.4285716815,SL,74.23461428571682,-74.23461428571682,17909.298535714286,18132.002378571437,-1.0,False,,,2024-02-12T18:00:00+00:00,2024-02-12T19:00:00+00:00,17915.043,18032.099,17858.443,17947.199,True,True,none
2024-02-13T20:00:00+00:00,2024-02-16T08:00:00+00:00,SHORT,17489.72645,17925.549714285713,-43582326.42857147,SL,435.8232642857147,-435.8232642857147,17925.549714285713,16618.07992142857,-1.0,False,,,2024-02-13T20:00:00+00:00,2024-02-16T08:00:00+00:00,17474.742,17609.521,17898.843,17946.999,True,True,none
