tp_multiple,ema_period,or_length_minutes,min_body_ratio,trades,trades_per_year,win_rate,expectancy_r,profit_factor,max_dd_r,tp_hit_rate,eod_exit_rate,avg_r,std_r,max_consec_losses
1.3,30,15,0.0,419,83.8,48.9,0.067,1.15,11.9,33.2,24.8,0.067,1.0254,10
1.5,30,15,0.0,419,83.8,47.0,0.064,1.14,13.7,27.4,28.9,0.0641,1.0766,10
1.6,30,15,0.0,419,83.8,46.8,0.076,1.16,13.6,25.5,30.5,0.0757,1.1028,10
1.8,30,15,0.0,419,83.8,46.8,0.097,1.21,13.4,20.8,35.3,0.0972,1.1422,10
1.3,30,15,0.1,379,75.8,50.7,0.102,1.23,9.6,34.0,25.6,0.1017,1.0249,7
1.5,30,15,0.1,379,75.8,48.5,0.093,1.21,11.4,27.7,30.1,0.0932,1.0751,8
1.6,30,15,0.1,379,75.8,48.3,0.103,1.23,11.3,25.6,31.9,0.1033,1.1003,8
1.8,30,15,0.1,379,75.8,48.3,0.128,1.28,11.1,21.1,36.4,0.1281,1.1428,8
1.3,30,15,0.2,342,68.4,51.8,0.115,1.27,9.8,34.5,25.4,0.1151,1.0266,7
1.5,30,15,0.2,342,68.4,49.4,0.101,1.22,12.5,27.8,30.1,0.1014,1.0764,7
1.6,30,15,0.2,342,68.4,49.1,0.11,1.24,11.6,25.4,32.2,0.1097,1.1004,7
1.8,30,15,0.2,342,68.4,49.1,0.133,1.29,10.0,20.8,36.8,0.1328,1.1411,7
1.3,50,15,0.0,404,80.8,49.8,0.086,1.19,9.9,34.2,24.0,0.0857,1.0307,8
1.5,50,15,0.0,404,80.8,47.8,0.082,1.18,11.7,28.2,28.2,0.0822,1.0829,8
1.6,50,15,0.0,404,80.8,47.5,0.093,1.2,11.6,26.2,30.0,0.093,1.1089,8
1.8,50,15,0.0,404,80.8,47.5,0.115,1.25,11.4,21.3,34.9,0.1149,1.1485,8
1.3,50,15,0.1,365,73.0,51.5,0.121,1.28,8.6,35.1,24.7,0.1208,1.0303,6
1.5,50,15,0.1,365,73.0,49.3,0.111,1.25,10.4,28.5,29.3,0.1114,1.0815,8
1.6,50,15,0.1,365,73.0,49.0,0.121,1.27,10.3,26.3,31.2,0.1207,1.1065,8
1.8,50,15,0.1,365,73.0,49.0,0.146,1.32,10.1,21.6,35.9,0.1458,1.1492,8
1.3,50,15,0.2,328,65.6,52.4,0.13,1.3,8.9,35.4,24.4,0.1299,1.0322,6
1.5,50,15,0.2,328,65.6,50.0,0.114,1.25,11.6,28.4,29.3,0.1144,1.0825,6
1.6,50,15,0.2,328,65.6,49.7,0.121,1.27,10.7,25.9,31.4,0.1213,1.1059,6
1.8,50,15,0.2,328,65.6,49.7,0.144,1.32,10.0,21.0,36.3,0.1442,1.1462,6
1.3,70,15,0.0,401,80.2,48.9,0.068,1.15,11.1,33.2,24.4,0.0677,1.0272,7
1.5,70,15,0.0,401,80.2,47.1,0.068,1.15,13.7,27.4,28.7,0.0679,1.0779,9
1.6,70,15,0.0,401,80.2,46.9,0.078,1.17,12.7,25.4,30.4,0.0778,1.103,9
1.8,70,15,0.0,401,80.2,46.9,0.104,1.22,12.3,21.2,34.7,0.1043,1.1467,9
1.3,70,15,0.1,360,72.0,50.6,0.101,1.23,8.9,33.9,25.3,0.1008,1.0263,7
