tp_multiple,ema_period,or_length_minutes,min_body_ratio,trades,trades_per_year,win_rate,expectancy_r,profit_factor,max_dd_r,tp_hit_rate,eod_exit_rate,avg_r,std_r,max_consec_losses
1.8,50,15,0.1,365,73.0,49.0,0.146,1.32,10.1,21.6,35.9,0.1458,1.1492,8
1.8,50,15,0.2,328,65.6,49.7,0.144,1.32,10.0,21.0,36.3,0.1442,1.1462,6
1.8,70,15,0.2,324,64.8,49.1,0.135,1.3,11.1,21.0,36.1,0.1349,1.1443,6
1.8,30,15,0.2,342,68.4,49.1,0.133,1.29,10.0,20.8,36.8,0.1328,1.1411,7
1.8,70,15,0.1,360,72.0,48.3,0.133,1.29,10.3,21.4,35.8,0.1328,1.1458,9
1.3,50,15,0.2,328,65.6,52.4,0.13,1.3,8.9,35.4,24.4,0.1299,1.0322,6
1.8,30,15,0.1,379,75.8,48.3,0.128,1.28,11.1,21.1,36.4,0.1281,1.1428,8
1.3,50,15,0.1,365,73.0,51.5,0.121,1.28,8.6,35.1,24.7,0.1208,1.0303,6
1.6,50,15,0.1,365,73.0,49.0,0.121,1.27,10.3,26.3,31.2,0.1207,1.1065,8
1.6,50,15,0.2,328,65.6,49.7,0.121,1.27,10.7,25.9,31.4,0.1213,1.1059,6
