sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,volatility_percentile_threshold,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,is_total_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,oos_total_R,is_score,is_viable,oos_score,oos_viable
0.5,1.0,0.55,8,4.0,30.0,3,33.33,0.0,1.0,1.0,0.0,8,50.0,0.5,2.0,1.0,4.0,,False,,False
0.5,1.0,0.55,8,4.0,50.0,1,0.0,-1.0,0.0,1.0,-1.0,8,50.0,0.5,2.0,1.0,4.0,,False,,False
0.5,1.0,0.55,8,10.0,30.0,12,16.67,-0.5,0.4,7.0,-6.0,13,46.15,0.3846,1.7143,3.0,5.0,,False,,False
0.5,1.0,0.55,8,10.0,50.0,8,12.5,-0.625,0.2857,7.0,-5.0,13,46.15,0.3846,1.7143,3.0,5.0,,False,,False
0.5,1.0,0.55,20,4.0,30.0,7,14.29,-0.5714,0.3333,4.0,-4.0,16,43.75,0.3125,1.5556,2.0,5.0,,False,,False
0.5,1.0,0.55,20,4.0,50.0,5,0.0,-1.0,0.0,5.0,-5.0,14,42.86,0.2857,1.5,2.0,4.0,,False,,False
0.5,1.0,0.55,20,10.0,30.0,20,20.0,-0.4,0.5,10.0,-8.0,36,38.89,0.1667,1.2727,6.0,6.0,,False,,False
0.5,1.0,0.55,20,10.0,50.0,15,13.33,-0.6,0.3077,12.0,-9.0,31,38.71,0.1613,1.2632,5.0,5.0,,False,,False
0.5,1.0,0.75,8,4.0,30.0,3,66.67,1.0,4.0,1.0,3.0,5,60.0,0.8,3.0,2.0,4.0,,False,,False
0.5,1.0,0.75,8,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,5,60.0,0.8,3.0,2.0,4.0,,False,,False
0.5,1.0,0.75,8,10.0,30.0,9,33.33,0.0,1.0,2.0,0.0,10,50.0,0.5,2.0,3.0,5.0,,False,,False
0.5,1.0,0.75,8,10.0,50.0,5,20.0,-0.4,0.5,4.0,-2.0,10,50.0,0.5,2.0,3.0,5.0,,False,,False
0.5,1.0,0.75,20,4.0,30.0,5,40.0,0.2,1.3333,1.0,1.0,15,40.0,0.2,1.3333,3.0,3.0,,False,,False
0.5,1.0,0.75,20,4.0,50.0,2,0.0,-1.0,0.0,2.0,-2.0,13,38.46,0.1538,1.25,3.0,2.0,,False,,False
0.5,1.0,0.75,20,10.0,30.0,13,30.77,-0.0769,0.8889,4.0,-1.0,29,41.38,0.2414,1.4118,4.0,7.0,,False,,False
0.5,1.0,0.75,20,10.0,50.0,9,22.22,-0.3333,0.5714,7.0,-3.0,25,40.0,0.2,1.3333,4.0,5.0,,False,,False
0.5,1.4,0.55,8,4.0,30.0,2,0.0,-1.0,0.0,2.0,-2.0,6,50.0,0.5,2.0,2.0,3.0,,False,,False
0.5,1.4,0.55,8,4.0,50.0,1,0.0,-1.0,0.0,1.0,-1.0,6,50.0,0.5,2.0,2.0,3.0,,False,,False
0.5,1.4,0.55,8,10.0,30.0,8,12.5,-0.625,0.2857,6.0,-5.0,11,45.45,0.3636,1.6667,4.0,4.0,,False,,False
0.5,1.4,0.55,8,10.0,50.0,6,16.67,-0.5,0.4,5.0,-3.0,11,45.45,0.3636,1.6667,4.0,4.0,,False,,False
0.5,1.4,0.55,20,4.0,30.0,5,0.0,-1.0,0.0,5.0,-5.0,14,42.86,0.2857,1.5,3.0,4.0,,False,,False
0.5,1.4,0.55,20,4.0,50.0,4,0.0,-1.0,0.0,4.0,-4.0,12,41.67,0.25,1.4286,4.0,3.0,,False,,False
0.5,1.4,0.55,20,10.0,30.0,12,8.33,-0.75,0.1818,10.0,-9.0,27,37.04,0.1111,1.1765,8.0,3.0,,False,,False
0.5,1.4,0.55,20,10.0,50.0,10,10.0,-0.7,0.2222,9.0,-7.0,24,37.5,0.125,1.2,8.0,3.0,,False,,False
0.5,1.4,0.75,8,4.0,30.0,2,50.0,0.5,2.0,1.0,1.0,4,75.0,1.25,6.0,1.0,5.0,,False,,False
0.5,1.4,0.75,8,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,4,75.0,1.25,6.0,1.0,5.0,,False,,False
0.5,1.4,0.75,8,10.0,30.0,7,42.86,0.2857,1.5,2.0,2.0,9,55.56,0.6667,2.5,2.0,6.0,,False,,False
0.5,1.4,0.75,8,10.0,50.0,4,50.0,0.5,2.0,2.0,2.0,9,55.56,0.6667,2.5,2.0,6.0,,False,,False
0.5,1.4,0.75,20,4.0,30.0,4,25.0,-0.25,0.6667,2.0,-1.0,12,50.0,0.5,2.0,3.0,6.0,,False,,False
0.5,1.4,0.75,20,4.0,50.0,2,0.0,-1.0,0.0,2.0,-2.0,10,50.0,0.5,2.0,3.0,5.0,,False,,False
0.5,1.4,0.75,20,10.0,30.0,10,30.0,-0.1,0.8571,4.0,-1.0,22,40.91,0.2273,1.3846,6.0,5.0,,False,,False
0.5,1.4,0.75,20,10.0,50.0,7,28.57,-0.1429,0.8,5.0,-1.0,19,42.11,0.2632,1.4545,5.0,5.0,,False,,False
1.0,1.0,0.55,8,4.0,30.0,1,0.0,-1.0,0.0,1.0,-1.0,3,33.33,0.0,1.0,2.0,0.0,,False,,False
1.0,1.0,0.55,8,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,3,33.33,0.0,1.0,2.0,0.0,,False,,False
1.0,1.0,0.55,8,10.0,30.0,6,0.0,-1.0,0.0,6.0,-6.0,7,28.57,-0.1429,0.8,2.0,-1.0,,False,,False
1.0,1.0,0.55,8,10.0,50.0,4,0.0,-1.0,0.0,4.0,-4.0,7,28.57,-0.1429,0.8,2.0,-1.0,,False,,False
1.0,1.0,0.55,20,4.0,30.0,3,0.0,-1.0,0.0,3.0,-3.0,6,50.0,0.5,2.0,2.0,3.0,,False,,False
1.0,1.0,0.55,20,4.0,50.0,2,0.0,-1.0,0.0,2.0,-2.0,5,40.0,0.2,1.3333,2.0,1.0,,False,,False
1.0,1.0,0.55,20,10.0,30.0,8,0.0,-1.0,0.0,8.0,-8.0,13,38.46,0.1538,1.25,3.0,2.0,,False,,False
1.0,1.0,0.55,20,10.0,50.0,6,0.0,-1.0,0.0,6.0,-6.0,11,36.36,0.0909,1.1429,3.0,1.0,,False,,False
1.0,1.0,0.75,8,4.0,30.0,2,50.0,0.5,2.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,False,,False
1.0,1.0,0.75,8,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,False,,False
1.0,1.0,0.75,8,10.0,30.0,6,33.33,0.0,1.0,2.0,0.0,4,25.0,-0.25,0.6667,3.0,-1.0,,False,,False
1.0,1.0,0.75,8,10.0,50.0,2,0.0,-1.0,0.0,2.0,-2.0,4,25.0,-0.25,0.6667,3.0,-1.0,,False,,False
1.0,1.0,0.75,20,4.0,30.0,3,33.33,0.0,1.0,2.0,0.0,2,100.0,2.0,inf,0.0,4.0,,False,,False
1.0,1.0,0.75,20,4.0,50.0,1,0.0,-1.0,0.0,1.0,-1.0,1,100.0,2.0,inf,0.0,2.0,,False,,False
1.0,1.0,0.75,20,10.0,30.0,7,28.57,-0.1429,0.8,2.0,-1.0,7,57.14,0.7143,2.6667,1.0,5.0,,False,,False
1.0,1.0,0.75,20,10.0,50.0,3,0.0,-1.0,0.0,3.0,-3.0,6,50.0,0.5,2.0,1.0,3.0,,False,,False
1.0,1.4,0.55,8,4.0,30.0,2,0.0,-1.0,0.0,2.0,-2.0,2,0.0,-1.0,0.0,2.0,-2.0,,False,,False
1.0,1.4,0.55,8,4.0,50.0,1,0.0,-1.0,0.0,1.0,-1.0,2,0.0,-1.0,0.0,2.0,-2.0,,False,,False
1.0,1.4,0.55,8,10.0,30.0,5,0.0,-1.0,0.0,5.0,-5.0,6,16.67,-0.5,0.4,5.0,-3.0,,False,,False
1.0,1.4,0.55,8,10.0,50.0,3,0.0,-1.0,0.0,3.0,-3.0,6,16.67,-0.5,0.4,5.0,-3.0,,False,,False
1.0,1.4,0.55,20,4.0,30.0,3,0.0,-1.0,0.0,3.0,-3.0,5,40.0,0.2,1.3333,2.0,1.0,,False,,False
1.0,1.4,0.55,20,4.0,50.0,2,0.0,-1.0,0.0,2.0,-2.0,4,25.0,-0.25,0.6667,2.0,-1.0,,False,,False
1.0,1.4,0.55,20,10.0,30.0,6,0.0,-1.0,0.0,6.0,-6.0,9,33.33,0.0,1.0,3.0,0.0,,False,,False
1.0,1.4,0.55,20,10.0,50.0,4,0.0,-1.0,0.0,4.0,-4.0,8,25.0,-0.25,0.6667,4.0,-2.0,,False,,False
1.0,1.4,0.75,8,4.0,30.0,2,50.0,0.5,2.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,,False,,False
1.0,1.4,0.75,8,4.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,False,,False
1.0,1.4,0.75,8,10.0,30.0,5,60.0,0.8,3.0,1.0,4.0,4,25.0,-0.25,0.6667,3.0,-1.0,,False,,False
1.0,1.4,0.75,8,10.0,50.0,1,100.0,2.0,inf,0.0,2.0,4,25.0,-0.25,0.6667,3.0,-1.0,,False,,False
1.0,1.4,0.75,20,4.0,30.0,3,33.33,0.0,1.0,2.0,0.0,2,100.0,2.0,inf,0.0,4.0,,False,,False
1.0,1.4,0.75,20,4.0,50.0,1,0.0,-1.0,0.0,1.0,-1.0,1,100.0,2.0,inf,0.0,2.0,,False,,False
1.0,1.4,0.75,20,10.0,30.0,6,50.0,0.5,2.0,1.0,3.0,6,50.0,0.5,2.0,1.0,3.0,,False,,False
1.0,1.4,0.75,20,10.0,50.0,2,50.0,0.5,2.0,1.0,1.0,5,40.0,0.2,1.3333,2.0,1.0,,False,,False
