sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.35,1.0,0.55,12,False,50,87,21.84,-0.3448,0.5588,30.0,97,35.05,0.0515,1.0794,7.0,,False,1.1749,True
0.35,1.0,0.55,20,False,50,121,24.79,-0.2562,0.6593,33.0,140,33.57,0.0071,1.0108,12.0,,False,0.7321,True
0.35,1.0,0.55,30,False,50,176,23.86,-0.2841,0.6269,50.0,202,30.2,-0.0941,0.8652,32.0,,False,,False
0.35,1.0,0.65,12,False,50,79,22.78,-0.3165,0.5902,25.0,94,32.98,-0.0106,0.9841,13.0,,False,,False
0.35,1.0,0.65,20,False,50,109,26.61,-0.2018,0.725,26.0,137,32.12,-0.0365,0.9462,14.0,,False,,False
0.35,1.0,0.65,30,False,50,162,25.31,-0.2407,0.6777,40.0,198,29.29,-0.1212,0.8286,35.0,,False,,False
0.35,1.0,0.75,12,False,50,56,23.21,-0.3036,0.6047,17.0,78,34.62,0.0385,1.0588,15.0,,False,0.6582999999999999,True
0.35,1.0,0.75,20,False,50,78,28.21,-0.1538,0.7857,19.0,117,33.33,0.0,1.0,10.0,,False,,False
0.35,1.0,0.75,30,False,50,125,27.2,-0.184,0.7473,26.0,169,30.18,-0.0947,0.8644,24.0,,False,,False
0.35,1.3,0.55,12,False,50,74,24.32,-0.2703,0.6429,20.0,83,38.55,0.1566,1.2549,6.0,,False,1.6736999999999997,True
0.35,1.3,0.55,20,False,50,97,25.77,-0.2268,0.6944,24.0,116,37.93,0.1379,1.2222,9.0,,False,1.4859,True
0.35,1.3,0.55,30,False,50,140,22.86,-0.3143,0.5926,44.0,164,34.15,0.0244,1.037,15.0,,False,0.6601999999999999,True
0.35,1.3,0.65,12,False,50,66,25.76,-0.2273,0.6939,16.0,78,35.9,0.0769,1.12,9.0,,False,1.1347,True
0.35,1.3,0.65,20,False,50,88,27.27,-0.1818,0.75,20.0,111,36.04,0.0811,1.1268,9.0,,False,1.2201000000000002,True
0.35,1.3,0.65,30,False,50,128,23.44,-0.2969,0.6122,38.0,159,32.7,-0.0189,0.972,15.0,,False,,False
0.35,1.3,0.75,12,False,50,50,26.0,-0.22,0.7027,14.0,67,38.81,0.1642,1.2683,11.0,,False,1.4119,True
0.35,1.3,0.75,20,False,50,67,28.36,-0.1493,0.7917,15.0,99,37.37,0.1212,1.1935,8.0,,False,1.4541000000000002,True
0.35,1.3,0.75,30,False,50,103,24.27,-0.2718,0.641,28.0,137,34.31,0.0292,1.0444,12.0,,False,0.8319999999999999,True
0.35,1.6,0.55,12,False,50,53,33.96,0.0189,1.0286,7.0,70,37.14,0.1143,1.1818,5.0,0.8943,True,1.4847,True
0.35,1.6,0.55,20,False,50,71,35.21,0.0563,1.087,8.0,92,33.7,0.0109,1.0164,9.0,1.0689,True,0.8751,True
0.35,1.6,0.55,30,False,50,97,29.9,-0.1031,0.8529,15.0,116,31.9,-0.0431,0.9367,10.0,,False,,False
0.35,1.6,0.65,12,False,50,49,34.69,0.0408,1.0625,7.0,67,35.82,0.0746,1.1163,8.0,0.9819000000000001,True,1.1411,True
0.35,1.6,0.65,20,False,50,66,36.36,0.0909,1.1429,8.0,89,32.58,-0.0225,0.9667,9.0,1.2136,True,,False
0.35,1.6,0.65,30,False,50,91,30.77,-0.0769,0.8889,14.0,113,30.97,-0.0708,0.8974,12.0,,False,,False
0.35,1.6,0.75,12,False,50,38,31.58,-0.0526,0.9231,8.0,57,36.84,0.1053,1.1667,9.0,,False,1.2036000000000002,True
0.35,1.6,0.75,20,False,50,53,35.85,0.0755,1.1176,8.0,77,33.77,0.013,1.0196,9.0,1.1030999999999997,True,0.8396,True
0.35,1.6,0.75,30,False,50,75,30.67,-0.08,0.8846,14.0,100,32.0,-0.04,0.9412,11.0,,False,,False
0.5,1.0,0.55,12,False,50,87,21.84,-0.3448,0.5588,30.0,93,36.56,0.0968,1.1525,11.0,,False,1.1719,True
0.5,1.0,0.55,20,False,50,110,22.73,-0.3182,0.5882,35.0,122,33.61,0.0082,1.0123,12.0,,False,0.7368999999999999,True
0.5,1.0,0.55,30,False,50,141,21.28,-0.3617,0.5405,51.0,170,31.18,-0.0647,0.906,22.0,,False,,False
0.5,1.0,0.65,12,False,50,78,23.08,-0.3077,0.6,24.0,90,34.44,0.0333,1.0508,17.0,,False,0.5707000000000001,True
0.5,1.0,0.65,20,False,50,98,23.47,-0.2959,0.6133,30.0,119,31.93,-0.042,0.9383,18.0,,False,,False
0.5,1.0,0.65,30,False,50,129,21.71,-0.3488,0.5545,45.0,166,29.52,-0.1145,0.8376,28.0,,False,,False
0.5,1.0,0.75,12,False,50,55,25.45,-0.2364,0.6829,15.0,74,33.78,0.0135,1.0204,20.0,,False,0.28289999999999993,True
0.5,1.0,0.75,20,False,50,70,25.71,-0.2286,0.6923,19.0,99,31.31,-0.0606,0.9118,17.0,,False,,False
