sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,liquidity_level_atr_mult,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.35,1.0,0.55,12,2.0,False,50,16,37.5,0.125,1.2,3.0,19,36.84,0.1053,1.1667,3.0,,False,,False
0.35,1.0,0.55,12,4.0,False,50,19,31.58,-0.0526,0.9231,6.0,23,34.78,0.0435,1.0667,4.0,,False,1.1632603241567598,True
0.35,1.0,0.55,12,6.0,False,50,24,29.17,-0.125,0.8235,10.0,28,35.71,0.0714,1.1111,5.0,,False,1.2677591342464791,True
0.35,1.0,0.55,12,10.0,False,50,30,26.67,-0.2,0.7273,11.0,31,35.48,0.0645,1.1,5.0,,False,1.2512261991466958,True
0.35,1.0,0.55,20,2.0,False,50,19,36.84,0.1053,1.1667,4.0,25,36.0,0.08,1.125,3.0,,False,1.391776695296637,True
0.35,1.0,0.55,20,4.0,False,50,26,26.92,-0.1923,0.7368,9.0,31,32.26,-0.0323,0.9524,4.0,,False,,False
0.35,1.0,0.55,20,6.0,False,50,31,25.81,-0.2258,0.6957,13.0,44,34.09,0.0227,1.0345,8.0,,False,0.9727217232801146,True
0.35,1.0,0.55,20,10.0,False,50,40,25.0,-0.25,0.6667,15.0,53,33.96,0.0189,1.0286,8.0,,False,0.9958824464340617,True
0.35,1.0,0.55,30,2.0,False,50,26,30.77,-0.0769,0.8889,6.0,31,32.26,-0.0323,0.9524,7.0,,False,,False
0.35,1.0,0.55,30,4.0,False,50,37,24.32,-0.2703,0.6429,14.0,46,26.09,-0.2174,0.7059,11.0,,False,,False
0.35,1.0,0.55,30,6.0,False,50,43,23.26,-0.3023,0.6061,17.0,66,27.27,-0.1818,0.75,15.0,,False,,False
0.35,1.0,0.55,30,10.0,False,50,63,23.81,-0.2857,0.625,20.0,85,28.24,-0.1529,0.7869,18.0,,False,,False
0.35,1.0,0.65,12,2.0,False,50,13,38.46,0.1538,1.25,3.0,18,27.78,-0.1667,0.7692,7.0,,False,,False
0.35,1.0,0.65,12,4.0,False,50,16,31.25,-0.0625,0.9091,5.0,22,27.27,-0.1818,0.75,7.0,,False,,False
0.35,1.0,0.65,12,6.0,False,50,21,28.57,-0.1429,0.8,9.0,27,29.63,-0.1111,0.8421,10.0,,False,,False
0.35,1.0,0.65,12,10.0,False,50,27,29.63,-0.1111,0.8421,8.0,30,30.0,-0.1,0.8571,10.0,,False,,False
0.35,1.0,0.65,20,2.0,False,50,16,37.5,0.125,1.2,4.0,24,29.17,-0.125,0.8235,7.0,,False,,False
0.35,1.0,0.65,20,4.0,False,50,22,27.27,-0.1818,0.75,8.0,30,26.67,-0.2,0.7273,9.0,,False,,False
0.35,1.0,0.65,20,6.0,False,50,27,25.93,-0.2222,0.7,12.0,42,30.95,-0.0714,0.8966,11.0,,False,,False
