sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
0.35,1.0,0.55,12,False,50,63,17.46,-0.4762,0.4231,30.0,75,37.33,0.12,1.1915,11.0,,False,1.404463724433828,True
0.35,1.0,0.55,20,False,50,97,22.68,-0.3196,0.5867,34.0,112,36.61,0.0982,1.1549,9.0,,False,1.4995,True
0.35,1.0,0.55,30,False,50,145,23.45,-0.2966,0.6126,43.0,165,31.52,-0.0545,0.9204,23.0,,False,,False
0.35,1.0,0.65,12,False,50,59,18.64,-0.4407,0.4583,26.0,73,36.99,0.1096,1.1739,10.0,,False,1.3975772826487298,True
0.35,1.0,0.65,20,False,50,89,24.72,-0.2584,0.6567,28.0,110,36.36,0.0909,1.1429,9.0,,False,1.4656,True
0.35,1.0,0.65,30,False,50,135,25.19,-0.2444,0.6733,33.0,163,31.29,-0.0613,0.9107,22.0,,False,,False
0.35,1.0,0.75,12,False,50,43,20.93,-0.3721,0.5294,16.0,66,36.36,0.0909,1.1429,13.0,,False,1.1317237955616832,True
0.35,1.0,0.75,20,False,50,65,27.69,-0.1692,0.766,18.0,100,36.0,0.08,1.125,9.0,,False,1.415,True
0.35,1.0,0.75,30,False,50,106,28.3,-0.1509,0.7895,18.0,147,31.29,-0.0612,0.9109,18.0,,False,,False
0.35,1.3,0.55,12,False,50,53,20.75,-0.3774,0.5238,20.0,63,42.86,0.2857,1.5,6.0,,False,2.410670006431261,True
0.35,1.3,0.55,20,False,50,76,23.68,-0.2895,0.6207,25.0,92,42.39,0.2717,1.4717,8.0,,False,2.3564895251891245,True
0.35,1.3,0.55,30,False,50,115,21.74,-0.3478,0.5556,40.0,133,36.84,0.1053,1.1667,10.0,,False,1.4826000000000001,True
0.35,1.3,0.65,12,False,50,49,22.45,-0.3265,0.5789,17.0,60,41.67,0.25,1.4286,6.0,,False,2.21946580994025,True
0.35,1.3,0.65,20,False,50,71,25.35,-0.2394,0.6792,22.0,89,41.57,0.2472,1.4231,8.0,,False,2.2228550831195255,True
0.35,1.3,0.65,30,False,50,107,22.43,-0.3271,0.5783,35.0,130,36.15,0.0846,1.1325,10.0,,False,1.3863,True
0.35,1.3,0.75,12,False,50,39,25.64,-0.2308,0.6897,12.0,56,42.86,0.2857,1.5,9.0,,False,2.2307763921413954,True
