rank,sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
1,0.75,1.3,0.55,12,False,50,58,25.86,-0.2241,0.6977,13.0,71,39.44,0.1831,1.3023,7.0,,False,1.7146,True
2,0.5,1.3,0.55,12,False,50,72,25.0,-0.25,0.6667,20.0,77,38.96,0.1688,1.2766,6.0,,False,1.714,True
3,0.35,1.3,0.55,12,False,50,74,24.32,-0.2703,0.6429,20.0,83,38.55,0.1566,1.2549,6.0,,False,1.6736999999999997,True
4,0.75,1.6,0.55,12,False,50,45,33.33,0.0,1.0,7.0,61,37.7,0.1311,1.2105,5.0,,False,1.5368,True
5,0.75,1.0,0.55,12,False,50,71,22.54,-0.3239,0.5818,23.0,84,38.1,0.1429,1.2308,8.0,,False,1.5115,True
6,0.35,1.3,0.55,20,False,50,97,25.77,-0.2268,0.6944,24.0,116,37.93,0.1379,1.2222,9.0,,False,1.4859,True
7,0.35,1.6,0.55,12,False,50,53,33.96,0.0189,1.0286,7.0,70,37.14,0.1143,1.1818,5.0,0.8943,True,1.4847,True
8,0.75,1.3,0.55,30,False,50,74,21.62,-0.3514,0.5517,26.0,91,38.46,0.1538,1.25,10.0,,False,1.4844,True
9,0.75,1.3,0.55,20,False,50,63,23.81,-0.2857,0.625,18.0,84,38.1,0.1429,1.2308,9.0,,False,1.4615,True
10,0.5,1.3,0.55,20,False,50,88,23.86,-0.2841,0.6269,27.0,99,37.37,0.1212,1.1935,8.0,,False,1.4541000000000002,True
11,0.35,1.3,0.75,20,False,50,67,28.36,-0.1493,0.7917,15.0,99,37.37,0.1212,1.1935,8.0,,False,1.4541000000000002,True
12,0.75,1.3,0.75,30,False,50,56,23.21,-0.3036,0.6047,17.0,76,38.16,0.1447,1.234,9.0,,False,1.4461,True
13,0.5,1.6,0.55,12,False,50,52,34.62,0.0385,1.0588,8.0,64,37.5,0.125,1.2,7.0,0.9302999999999999,True,1.417,True
14,0.35,1.3,0.75,12,False,50,50,26.0,-0.22,0.7027,14.0,67,38.81,0.1642,1.2683,11.0,,False,1.4119,True
15,0.75,1.3,0.75,20,False,50,48,27.08,-0.1875,0.7429,9.0,69,37.68,0.1304,1.2093,8.0,,False,1.4075,True
