rank,sweep_atr_mult,momentum_atr_mult,momentum_body_ratio,compression_lookback,enable_trend_filter,trend_ema_period,is_trades,is_win_rate,is_expectancy_R,is_profit_factor,is_max_dd_R,oos_trades,oos_win_rate,oos_expectancy_R,oos_profit_factor,oos_max_dd_R,is_score,is_viable,oos_score,oos_viable
1,0.35,1.3,0.55,12,False,50,53,20.75,-0.3774,0.5238,20.0,63,42.86,0.2857,1.5,6.0,,False,2.410670006431261,True
2,0.35,1.3,0.55,20,False,50,76,23.68,-0.2895,0.6207,25.0,92,42.39,0.2717,1.4717,8.0,,False,2.3564895251891245,True
3,0.35,1.6,0.55,12,False,50,34,32.35,-0.0294,0.9565,9.0,52,42.31,0.2692,1.4667,5.0,,False,2.3304769638004523,True
4,0.75,1.3,0.75,30,False,50,38,15.79,-0.5263,0.375,20.0,62,41.94,0.2581,1.4444,6.0,,False,2.268052432433471,True
5,0.35,1.3,0.75,12,False,50,39,25.64,-0.2308,0.6897,12.0,56,42.86,0.2857,1.5,9.0,,False,2.2307763921413954,True
6,0.35,1.3,0.65,20,False,50,71,25.35,-0.2394,0.6792,22.0,89,41.57,0.2472,1.4231,8.0,,False,2.2228550831195255,True
7,0.5,1.3,0.55,12,False,50,51,21.57,-0.3529,0.55,20.0,59,42.37,0.2712,1.4706,8.0,,False,2.220796048374104,True
8,0.35,1.3,0.65,12,False,50,49,22.45,-0.3265,0.5789,17.0,60,41.67,0.25,1.4286,6.0,,False,2.21946580994025,True
9,0.35,1.3,0.75,20,False,50,56,28.57,-0.1429,0.8,14.0,84,41.67,0.25,1.4286,8.0,,False,2.217311954690256,True
10,0.75,1.0,0.55,30,False,50,62,14.52,-0.5645,0.3396,35.0,84,41.67,0.25,1.4286,8.0,,False,2.217311954690256,True
11,0.75,1.3,0.55,12,False,50,34,17.65,-0.4706,0.4286,16.0,52,42.31,0.2692,1.4667,8.0,,False,2.1804769638004524,True
12,0.75,1.3,0.65,12,False,50,31,19.35,-0.4194,0.48,13.0,50,42.0,0.26,1.4483,7.0,,False,2.1756017787506803,True
13,0.75,1.0,0.55,12,False,50,43,16.28,-0.5116,0.3889,22.0,62,41.94,0.2581,1.4444,8.0,,False,2.1680524324334716,True
14,0.75,1.3,0.75,20,False,50,30,20.0,-0.4,0.5,12.0,56,41.07,0.2321,1.3939,5.0,,False,2.163876392141395,True
15,0.35,1.6,0.65,12,False,50,33,33.33,0.0,1.0,9.0,51,41.18,0.2353,1.4,5.0,,False,2.15765024849024,True
